X,Y,Z,Flux
1.4,31.4,3,1063.653075
4.5,92.6,3,1228.004618
6,88.7,3,1063.653075
6.7,74.7,3,1315.830655
6.7,74.7,3,1130.316325
8.9,17.9,3,2441.181106
18.3,45.3,4,1475.027102
20.8,98.9,3,1742.60919
20.8,98.9,3,1611.387536
22.2,46.1,4,3212.180934
22.5,19.8,4,3518.843888
23.6,18.8,4,16338.04169
23.8,23.7,4,1310.991875
23.8,23.7,4,1279.970617
25.9,43,4,1958.844674
27.8,68.5,4,1307.37447
29.4,51.6,4,1090.435546
31.5,34.9,3,22511.27016
32.4,19.4,4,4195.657223
32.6,38.1,3,7641.87624
32.7,84.7,3,1618.825363
34.7,42.9,3,7008.095316
36.2,36.2,3,7184.557088
37,35.7,3,4604.685784
37.1,35.8,3,15617.08593
38.9,38.2,3,6432.799273
39.5,45,3,2839.226239
43.9,97.6,3,11107.08256
44.3,41.4,3,1274.089686
45.2,61.3,3,9453.66046
45.6,40.4,3,1509.384897
45.6,40.4,3,1319.471457
45.7,95.3,3,4685.975353
48.2,78.1,3,1253.141175
48.2,78.1,3,1302.566786
48.7,72.2,3,1470.957077
53.1,51.5,3,32448.90157
56.1,0.9,3,3087.450476
61,65.9,3,2135.99386
61,65.9,4,2135.99386
61.7,57.5,4,3787.913038
62.7,45.1,4,1154.516117
62.7,45.1,4,1102.554332
66.8,55.6,4,1630.797361
68.8,76.5,3,14521.11618
68.9,76.5,3,4393.392456
75.7,21.5,3,1986.094917
78.9,100,3,62172.73893
81.1,94,3,3144.850465
84.3,18.4,3,2208.004733
